2024-03-17 19:20:45.691 | INFO     | __main__:<module>:2 - SESSION_NAME='roberta-fl_2024-03-17T19-20-41-124914'
2024-03-17 19:20:45.707 | INFO     | __main__:<module>:3 - TRAIN_DATASET_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/train_2024.csv'
2024-03-17 19:20:45.715 | INFO     | __main__:<module>:4 - TEST_DATASET_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/test_2024.csv'
2024-03-17 19:20:45.726 | INFO     | __main__:<module>:5 - CURRENT_SESSION_DIR_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/session/roberta-fl_2024-03-17T19-20-41-124914'
2024-03-17 19:20:45.731 | INFO     | __main__:<module>:6 - LABEL_LIST=['toxic', 'non-toxic']
2024-03-17 19:20:59.750 | INFO     | __main__:<module>:2 - SESSION_NAME='roberta-fl_2024-03-17T19-20-41-124914'
2024-03-17 19:20:59.750 | INFO     | __main__:<module>:2 - SESSION_NAME='roberta-fl_2024-03-17T19-20-41-124914'
2024-03-17 19:20:59.752 | INFO     | __main__:<module>:3 - TRAIN_DATASET_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/train_2024.csv'
2024-03-17 19:20:59.752 | INFO     | __main__:<module>:3 - TRAIN_DATASET_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/train_2024.csv'
2024-03-17 19:20:59.753 | INFO     | __main__:<module>:4 - VAL_DATASET_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/dev_2024.csv'
2024-03-17 19:20:59.753 | INFO     | __main__:<module>:4 - VAL_DATASET_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/dev_2024.csv'
2024-03-17 19:20:59.754 | INFO     | __main__:<module>:5 - TEST_DATASET_PATH='/Users/lgk1910/Library/CloudStorage/OneDrive-AaltoUniversity/Learning2/Statistical NLP/Assignment/aalto-snlp-project-spring-2024/test_2024.csv'
